الفعلى ال1و23ى
تفعل ت12ّ3
الفعول ال12و3
الفعيل ال12ي3
مفعل م123
فعالة 1ا23ة
فعلية 123ية
التفاعل الت1ا23
الاستفعال الاست12ا3
المفعول الم12و3
المفعال الم1ا23
مفاعل م1ا23
افتعل ا1ت23
استفعل است123
افعولة ا12و3ة
الافتعال الا1ت2ا3
مفاعيل م1ا2ي3
الفاعل ال1ا23
الفعالة ال1ا23ة
استفعال است12ا3
تفعيل ت12ي3
انفعل ان123
فعلى 1و23ى
فعال 1ا23
فعول 12و3
انفعال ان12ا3
فعيل 12ي3
تفاعيل ت1ا2ي3
افعل ا123
فعائل 12ائ3
فعيلة 12ي3ة
المفعل الم123
افعال ا123ا
التفعيل الت12ي3
تفاعل ت1ا23
مفعولية م12و3ية
فاعل 1ا23
المفاعيل الم1ا2ي3
الفعائل ال12ائ3
افتعال ا1ت2ا3
الفعيلة ال12ي3ة
مفعلة م123ة
مفعول م12و3
فعلاء 123اء
مفعال م1ا23
الانفعال الان12ا3
فعلول 123و3
الافعال الا12ا3
فعلان 123ان
